Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Kamala D. Harris and Tim Walz,Democratic,"589,548","620,563","575,408","44,734","1,830,253",62.18%
Donald J. Trump and JD Vance,Republican,"376,804","479,609","136,802","23,399","1,016,614",34.54%
Chase Oliver and Mike ter Maat,Libertarian,"3,593","7,887","3,449",291,"15,220",0.52%
Jill Ellen Stein and Rudolph Ware,Green,"7,717","16,701","6,078",902,"31,398",1.07%
"Robert F. Kennedy, Jr. and Nicole Shanahan",Unaffiliated,"7,288","15,074","4,740",723,"27,825",0.95%
Sharon E Harris (Write In),Democratic,1,1,0,0,2,0.00%
Ralph Jaffe (Write In),Democratic,4,15,5,0,24,0.00%
Paij Boring and Jaimey Rutschman (Write In),Republican,25,37,17,3,82,0.00%
Sethatina Newman (Write In),Republican,0,1,0,0,1,0.00%
Carol Asher (Write In),Other Candidates,0,1,0,0,1,0.00%
"Jokie Beckett, Jr. (Write In)",Other Candidates,0,0,0,0,0,0.00%
Claudia De la Cruz and Karina Garcia (Write In),Other Candidates,106,350,108,13,577,0.02%
"John R. Gibb, Jr. (Write In)",Other Candidates,0,2,0,0,2,0.00%
Joseph Kishore (Write In),Other Candidates,0,6,3,0,9,0.00%
William P. Stodden (Write In),Other Candidates,1,0,0,0,1,0.00%
Shiva Ayyadurai and Crystal Ellis (Write In),Unaffiliated,9,18,0,1,28,0.00%
President R. Boddie (Write In),Unaffiliated,0,1,0,0,1,0.00%
"Theo Brown, Sr. (Write In)",Unaffiliated,0,0,0,0,0,0.00%
Susan Maude Buchser (Write In),Unaffiliated,1,0,0,0,1,0.00%
John Cheng and Wayne Waligorski (Write In),Unaffiliated,1,2,2,0,5,0.00%
Cherunda Fox (Write In),Unaffiliated,0,0,0,0,0,0.00%
Garry Hubbard and Elizabeth Seymour (Write In),Unaffiliated,0,1,0,0,1,0.00%
Shondra Irving (Write In),Unaffiliated,1,3,1,0,5,0.00%
Douglas Jenkins (Write In),Unaffiliated,3,5,0,0,8,0.00%
Brian Larry Kienitz (Write In),Unaffiliated,1,3,2,0,6,0.00%
Richard Mayers (Write In),Unaffiliated,1,0,0,0,1,0.00%
"Andrè Ramon McNeil, Sr. (Write In)",Unaffiliated,0,1,0,0,1,0.00%
Future Madam Potus and Jessica Kennedy (Write In),Unaffiliated,0,0,0,0,0,0.00%
Benjamin L. Schwalb (Write In),Unaffiliated,1,2,1,0,4,0.00%
Peter Sonski (Write In),Unaffiliated,119,320,120,8,567,0.02%
"Lester H. Waller, Jr. (Write In)",Unaffiliated,1,3,1,0,5,0.00%
Cornel West and Melina Abdullah (Write In),Unaffiliated,94,236,86,6,422,0.01%
Michael Yost (Write In),Unaffiliated,1,3,0,0,4,0.00%
Other Write-Ins,,"4,605","9,142","6,049",424,"20,220",0.69%
Totals,,"989,925","1,149,987","732,872","70,504","2,943,288",100.00%